"tconst","primaryTitle","startYear","runtimeMinutes","genres","directors","writers","averageRating","numVotes"
"tt12253130","UKE: The Untold Story of Hockey Legends",2020,"90","Documentary,History,Sport","nm8041932","nm9480490",8.6,72
"tt12256440","DAU. Three Days",2020,"104","Drama","nm0451969, nm0644293","nm0451969, nm0644293",5.7,171
"tt12258280","Under the Sea",2020,"81","Animation,Family","nm11550832","nm3203806",7.1,80
"tt1225856","Retina",2017,"87","Drama,Thriller","nm1405515","nm1405515",4.2,737
"tt12260790","Sith Wars: Episode I - The Return of the Sith",2021,"94","Action,Adventure,Fantasy","nm6157331","nm6157331",8,268
"tt12262116","Thirteen Lives",2022,"147","Action,Adventure,Biography","nm0000165","nm0629933, nm0534207",7.8,20126
"tt12262224","Dead Air",2021,"90","Mystery","nm1649077","nm2315691",4,77
"tt12262324","God's Waiting Room",2022,"95","Drama","nm4742065","nm4742065",5.9,57
"tt12264546","Electrician",2020,"85","Drama","nm11554379","nm11554379",6.8,107
"tt12264966","Notre Dame on Fire",2022,"110","Biography,Drama,Thriller","nm0000269","nm0000269, nm0081179",6.5,811
"tt12268038","America's Last Little Italy: The Hill",2020,"70","Documentary","nm7246008","nm7246008",9.1,61
"tt1226837","Beautiful Boy",2018,"120","Biography,Drama","nm0886976","nm1729294, nm0886976, nm2997310, nm2996954",7.3,74948
"tt12268760","Lil Ceaser",2020,"79","Drama","nm10690828","nm10690828",2.9,62
"tt1227183","Swallows and Amazons",2016,"96","Adventure,Drama,Family","nm1339400","nm0316447, nm0710420",6.1,3210
"tt12272978","The Bid",2021,"90","Comedy","nm11557967","nm11557967, nm11557968",4.1,88
"tt12273762","Overrun",2021,"105","Action,Comedy,Crime","nm2692472","nm5083323, nm2692472, nm5600427, nm12150088",5.4,3174
"tt12274228","Rent-A-Pal",2020,"108","Horror,Thriller","nm3344128","nm3344128",6.2,4648
"tt12280196","Labor, Lies and Murder",2022,"85","Thriller","nm6222943","nm8449465",6.1,87
"tt12280566","Love in Dangerous Times",2020,"94","Drama","nm4296517","nm4296517, nm4450487",5.8,1492
"tt12282598","Intuition",2020,"116","Crime,Drama,Mystery","nm1210360","nm4792498, nm1210360, nm1210677",5.5,2758
"tt12282600","This Lady Called Life",2020,"120","Drama","nm10050155","nm11562907",6.8,65
"tt12283036","Room 203",2022,"104","Horror","nm3019115","nm3019115, nm11993717, nm2151439, nm2373566",4.3,1081
"tt12283738","Quarantine Girl",2020,"61","Horror,Thriller","nm0368693, nm3724977","nm3724977",4.1,2750
"tt12283788","Sinful",2020,"74","Thriller","nm3973908","nm3973908",3.9,2726
"tt12284466","Dhuandhaar",2021,"120","Thriller","nm8692273","nm8692273, nm6680417",7,102
"tt12285116","Keeping the Bees",2019,"93","Drama","nm1549870","nm1549870",5.8,845
"tt12286048","The Walrus and the Whistleblower",2020,"88","Documentary","nm7105185","nm7105185, nm6941541",6.7,190
"tt12286896","Man from Podolsk",2020,"92","Drama","nm4195944","nm12203425, nm5610009",6.8,647
"tt12292206","Those Who Walk Away",2022,"94","Drama,Horror,Thriller","nm3163495","nm6648209, nm8512704, nm3163495",4.6,3914
"tt12292314","New Kung Fu Cult Master",2022,"114","Action,Fantasy","nm0939147","nm0939147",4.8,257
"tt12292428","Endgame 2050",2020,"93","Documentary","nm8069932","nm8069932",5.7,294
"tt12295244","White Sky",2021,"104","Action,Sci-Fi","nm8009675","nm1955172",2.8,214
"tt12298140","Virus-32",2022,"90","Horror","nm3889354","nm4389185, nm3889354",5.4,1019
"tt12298506","Black Box",2020,"100","Horror,Mystery,Sci-Fi","nm3222363","nm3222363, nm5193378",6.2,14394
"tt12299728","Mio's Cookbook",2020,"131","Drama","nm0434392","nm1024275, nm0434392, nm7305210, nm5208141",6.6,234
"tt12299824","JJ+E",2021,"90","Drama,Romance","nm5076056","nm8206930, nm0906267",5.3,1765
"tt1230168","Same Kind of Different as Me",2017,"119","Biography,Drama","nm5282204","nm3005540, nm3003921, nm3004527, nm5282204, nm4411934",6.6,8191
"tt12302540","Wicked",2021,"114","Drama,Fantasy,Romance","nm0993644","nm5825553, nm2605642",5.3,924
"tt12306926","DAU. Brave People",2020,"153","Drama","nm0451969, nm11552493","nm0451969",5.7,116
"tt12307006","Rebellion",2021,"82","Documentary","nm11573650, nm7332333","nm11573650, nm7332333",6.7,77
"tt12311620","Breaking",2022,"103","Crime,Drama,Thriller","nm5039000","nm5039000, nm0477160",6.8,312
"tt12311640","Twisted Twin",2020,"79","Thriller","nm0362799","nm3507602, nm0006803",5.3,185
"tt12311866","Children of the Corn",2020,"93","Horror","nm0934483","nm0934483",4.3,157
"tt12312912","Fire in the Mountains",2021,"84","Drama","nm2868714","nm2868714",7,75
"tt12313622","DAU. String Theory",2020,"169","Drama","nm0451969, nm11552493","nm0451969",5.3,96
"tt12315944","Custodes",2021,"90","Horror,Thriller","nm11085771, nm11085772, nm11085770","nm11085771, nm11085770",6.2,57
"tt12317242","Legend of the Muse",2020,"102","Thriller","nm2027125","nm2027125",5.6,54
"tt12318534","Secrets in the Basement",2020,"90","Thriller","nm11578551","nm11578552",4.4,160
"tt12319706","Cam Girls",2021,"85","Romance","nm8448178, nm9107519","nm6958582",2.9,334
"tt12320684","Aama",2020,"112","Drama","nm8120704","nm8120704",8.2,119
"tt12322986","Softie",2021,"93","Drama","nm2707986","nm2707986",7.1,318
"tt12325668","Pearl",2020,"92","Drama","nm0744794","nm0744794",4.7,273
"tt12326110","Senior Citizen",2020,"84","Drama","nm2651498","nm2651498",6.8,131
"tt12327140","What are the Odds?",2019,"92","Drama","nm4501231","nm11125336, nm4501231, nm5287381",5.2,842
