"tconst","primaryTitle","startYear","runtimeMinutes","genres","directors","writers"
"tt10234650","Farewell, My Lad",2020,"105","Drama","nm10644249","nm10644249"
"tt10234732","Traditional Indigenous Ways of Being",2019,"70","Documentary","nm0106686, nm2542895","nm0106686"
"tt10234740","Desk Clerk",2019,"90","Comedy","nm7429538","nm7607417"
"tt10234990","Stroke of Luck",2022,"81","Comedy","nm9289257","nm9289257, nm12727481"
"tt10234992","The Teacher",2019,"77","Drama,Mystery","nm0220274","nm0220274"
"tt10235600","Kaali Khuhi",2020,"90","Drama,Horror,Mystery","nm1335606","nm6292772, nm1287758, nm1335606"
"tt10235718","Love, Weddings & Other Disasters",2020,"96","Comedy,Romance","nm0240797","nm0174885, nm0240797, nm0588777"
"tt10237612","Inseparable Bros",2019,"114","Comedy,Drama","nm0948596","nm1593802, nm6689799, nm0948596"
"tt10237902","Gordon Lightfoot: If You Could Read My Mind",2019,"91","Biography,Documentary,Music","nm1457518, nm0869226","nm1457518, nm0869226"
"tt10238358","War Crimes Dealers",2019,"54","Documentary","nm6926029","nm6926029"
"tt10238510","Mazhi Tapasya",2016,"135","Drama","nm10586890","nm10645470, nm10586890"
"tt10238708","Kidnapped by a Classmate",2020,"87","Thriller","nm0583659","nm2226743"
"tt10238788","Monster Island",2019,"89","Action,Adventure,Sci-Fi","nm0040630","nm0040630"
"tt10238816","nîpawistamâsowin: We Will Stand Up",2019,"98","Documentary","nm1114245","nm1114245"
"tt10239560","ILU America (Land of America)",2019,"111","Drama","nm2201425","nm10999070, nm2201425"
"tt10239580","Me Without You",2019,"70","Drama","nm1591491","nm1591491"
"tt10239930","D-Day: Battle of Omaha Beach",2019,"85","Action,Drama,History","nm0528963","nm0576015"
"tt10240656","Deep Evil",2019,"107","Horror","nm10052547","nm7925727, nm10052547"
"tt10240688","The Witness",2019,"128","Crime,Thriller","nm1103129","nm2789483, nm1103129"
"tt10240720","Stare",2019,"98","Horror,Mystery","nm2398435","nm2398435"
